order_start_hour,order_start,num_services,services,art_test,pathology,vaccination,duration,price,order_end,lat,long
7,2023-02-12 07:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 08:00:00,73.8834847866046,22.187260847338884
8,2023-02-12 08:00:00,3,art_test pathology vaccination,1,1,1,1.9,350,2023-02-12 09:54:00,73.91283111363217,22.19392781772832
9,2023-02-12 09:00:00,3,vaccination pathology art_test,1,1,1,1.9,350,2023-02-12 10:54:00,73.91059041844079,22.000717649125434
12,2023-02-12 12:00:00,3,art_test pathology vaccination,1,1,1,1.9,350,2023-02-12 13:54:00,73.90809326785488,22.376549049727608
10,2023-02-12 10:00:00,3,pathology art_test vaccination,1,1,1,1.9,350,2023-02-12 11:54:00,73.88324005248971,22.116911716928406
12,2023-02-12 12:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 13:00:00,74.05102684419356,22.100185588288
8,2023-02-12 08:00:00,2,art_test vaccination,1,0,1,0.9,150,2023-02-12 08:54:00,73.90846983458076,22.217875726836557
8,2023-02-12 08:00:00,3,art_test pathology vaccination,1,1,1,1.9,350,2023-02-12 09:54:00,73.63013317422346,22.012155848189327
13,2023-02-12 13:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 13:24:00,73.73100912381086,21.988474097648922
6,2023-02-12 06:00:00,3,vaccination pathology art_test,1,1,1,1.9,350,2023-02-12 07:54:00,73.8172849694739,21.964323817317524
12,2023-02-12 12:00:00,2,vaccination art_test,1,0,1,0.9,150,2023-02-12 12:54:00,73.93480700366376,22.25774253251478
6,2023-02-12 06:00:00,2,art_test pathology,1,1,0,1.4,250,2023-02-12 07:24:00,73.87245023036436,22.478258368100313
8,2023-02-12 08:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 08:24:00,73.95095579572751,22.067246481458263
11,2023-02-12 11:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 12:30:00,73.94841721637832,22.379762116343457
14,2023-02-12 14:00:00,2,art_test pathology,1,1,0,1.4,250,2023-02-12 15:24:00,74.04256348894171,22.423738140439664
12,2023-02-12 12:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 12:24:00,73.80404925679997,22.511483943013868
6,2023-02-12 06:00:00,2,vaccination art_test,1,0,1,0.9,150,2023-02-12 06:54:00,73.75954496918656,22.28406903112673
13,2023-02-12 13:00:00,2,art_test pathology,1,1,0,1.4,250,2023-02-12 14:24:00,73.54874887663365,22.282911993230226
9,2023-02-12 09:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 09:24:00,73.59159134370809,22.517832206987542
7,2023-02-12 07:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 07:30:00,74.04299154891245,22.216976027488997
13,2023-02-12 13:00:00,2,pathology art_test,1,1,0,1.4,250,2023-02-12 14:24:00,74.05730675197529,22.088056577240973
9,2023-02-12 09:00:00,3,art_test vaccination pathology,1,1,1,1.9,350,2023-02-12 10:54:00,73.89651671701296,22.265055709266157
8,2023-02-12 08:00:00,3,vaccination art_test pathology,1,1,1,1.9,350,2023-02-12 09:54:00,73.83228719569183,22.120956104820202
13,2023-02-12 13:00:00,2,art_test vaccination,1,0,1,0.9,150,2023-02-12 13:54:00,74.00080462105245,22.19648075841748
13,2023-02-12 13:00:00,3,vaccination pathology art_test,1,1,1,1.9,350,2023-02-12 14:54:00,73.83387435444769,22.439970320356426
8,2023-02-12 08:00:00,2,art_test pathology,1,1,0,1.4,250,2023-02-12 09:24:00,73.87244666434754,22.093325410225663
6,2023-02-12 06:00:00,3,art_test vaccination pathology,1,1,1,1.9,350,2023-02-12 07:54:00,73.78818841421604,22.480433095443274
13,2023-02-12 13:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 14:00:00,73.60181267158862,22.02070932612236
12,2023-02-12 12:00:00,2,pathology art_test,1,1,0,1.4,250,2023-02-12 13:24:00,73.81623914379742,22.40347380169279
11,2023-02-12 11:00:00,3,vaccination art_test pathology,1,1,1,1.9,350,2023-02-12 12:54:00,73.908786211531,22.2298133359462
7,2023-02-12 07:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 07:24:00,73.8986631815734,22.409207748908965
